NZ_CP007243.1	tig00000001	92.826	182524	12657	322	2115167	2297515	959728	1141988	0.0	2.641e+05
NZ_CP007243.1	tig00000001	92.701	144019	10226	185	1377250	1521145	212515	356370	0.0	2.075e+05
NZ_CP007243.1	tig00000001	92.202	108453	8120	243	1732403	1840720	544112	652362	0.0	1.531e+05
NZ_CP007243.1	tig00000001	92.860	103550	7024	244	69470	172837	1225013	1328375	0.0	1.499e+05
NZ_CP007243.1	tig00000001	92.358	101089	7332	260	172867	273751	1328454	1429353	0.0	1.435e+05
NZ_CP007243.1	tig00000001	92.624	94006	6649	172	686117	780000	1824870	1918712	0.0	1.349e+05
NZ_CP007243.1	tig00000001	91.962	80053	6215	158	878802	958722	2001590	2081554	0.0	1.120e+05
NZ_CP007243.1	tig00000001	92.871	63711	4286	179	2033817	2097416	871062	934627	0.0	92254
NZ_CP007243.1	tig00000001	90.145	65106	6175	193	1110808	1175797	2482394	2547374	0.0	84461
NZ_CP007243.1	tig00000001	93.935	53589	3012	171	1639122	1692563	472948	526445	0.0	80736
NZ_CP007243.1	tig00000001	92.500	54136	3834	171	306490	360501	1461253	1515286	0.0	77270
NZ_CP007243.1	tig00000001	91.378	55344	4445	233	1870340	1925525	712127	767301	0.0	75462
NZ_CP007243.1	tig00000001	92.516	46394	3336	110	1297573	1343890	149237	195570	0.0	66314
NZ_CP007243.1	tig00000001	90.650	48896	4250	231	781078	829820	1921277	1970003	0.0	64668
NZ_CP007243.1	tig00000001	91.473	46795	3823	111	1949770	1996455	791669	838405	0.0	64155
NZ_CP007243.1	tig00000001	91.825	42848	3355	102	1040922	1083684	2134132	2176916	0.0	59583
NZ_CP007243.1	tig00000001	93.515	35495	2241	41	635126	670579	1765137	1800611	0.0	52737
NZ_CP007243.1	tig00000001	91.235	38175	3157	142	1264934	1302994	117385	79286	0.0	51784
NZ_CP007243.1	tig00000001	91.612	33142	2648	74	2297513	2330585	1143691	1176769	0.0	45679
NZ_CP007243.1	tig00000001	92.251	31669	2326	90	847342	878948	1969991	2001593	0.0	44769
NZ_CP007243.1	tig00000001	90.186	26931	2478	123	42609	69471	1198143	1224976	0.0	34937
NZ_CP007243.1	tig00000001	91.907	24046	1875	48	497906	521917	1642458	1666466	0.0	33558
NZ_CP007243.1	tig00000001	89.615	26393	2574	120	1843952	1870251	685696	712014	0.0	33399
NZ_CP007243.1	tig00000001	93.486	22153	1365	58	1212223	1234333	62624	84740	0.0	32843
NZ_CP007243.1	tig00000001	92.916	21952	1465	56	371879	393776	1518905	1540820	0.0	31841
NZ_CP007243.1	tig00000001	94.724	20146	1038	15	1228878	1249009	154656	134522	0.0	31290
NZ_CP007243.1	tig00000001	93.105	21189	1330	89	414160	435273	1570337	1591469	0.0	30914
NZ_CP007243.1	tig00000001	89.508	23199	2271	119	1926483	1949576	768396	791536	0.0	29205
NZ_CP007243.1	tig00000001	92.856	17540	1172	46	1714878	1732378	526438	543935	0.0	25374
NZ_CP007243.1	tig00000001	89.899	19474	1838	107	394753	414167	1549545	1568948	0.0	24945
NZ_CP007243.1	tig00000001	91.402	17702	1472	40	2097435	2115116	941952	959623	0.0	24212
NZ_CP007243.1	tig00000001	94.070	15581	902	20	670595	686165	1801368	1816936	0.0	23634
NZ_CP007243.1	tig00000001	86.917	20966	2597	123	1083636	1104530	2458067	2478957	0.0	23387
NZ_CP007243.1	tig00000001	91.465	15865	1259	74	959118	974937	2084796	2100610	0.0	21708
NZ_CP007243.1	tig00000001	91.108	15058	1213	81	1249931	1264925	133368	118374	0.0	20273
NZ_CP007243.1	tig00000001	91.375	14771	1216	36	450108	464848	1593994	1608736	0.0	20166
NZ_CP007243.1	tig00000001	91.842	13152	1016	38	974953	988088	2101337	2114447	0.0	18290
NZ_CP007243.1	tig00000001	86.957	16185	1989	88	566067	582200	1712751	1728864	0.0	18081
NZ_CP007243.1	tig00000001	81.793	21887	3634	267	1617163	1638874	2364090	2342380	0.0	18017
NZ_CP007243.1	tig00000001	90.421	12308	1100	46	1178199	1190470	7416	19680	0.0	16124
NZ_CP007243.1	tig00000001	91.420	11562	900	61	294908	306426	1449579	1461091	0.0	15771
NZ_CP007243.1	tig00000001	89.962	12254	1143	66	522571	534783	1667106	1679313	0.0	15734
NZ_CP007243.1	tig00000001	91.741	11333	892	29	603974	615284	1753876	1765186	0.0	15703
NZ_CP007243.1	tig00000001	92.609	10053	704	27	2548	12574	1179472	1189511	0.0	14412
NZ_CP007243.1	tig00000001	88.774	10502	1085	60	593512	603979	1742517	1752958	0.0	12776
NZ_CP007243.1	tig00000001	89.817	8848	822	56	2025004	2033811	862203	871011	0.0	11274
NZ_CP007243.1	tig00000001	91.182	8165	660	34	1178199	1186336	2554129	2562260	0.0	11034
NZ_CP007243.1	tig00000001	92.875	7312	507	13	1521452	1528759	358233	365534	0.0	10604
NZ_CP007243.1	tig00000001	90.965	7759	664	32	1598601	1606344	463417	471153	0.0	10410
